"";"satz";"inhalt";"satzlaenge"
"133";133;"Sie war wohl erst jetzt aus dem Bett aufgestanden und hatte noch gar nicht angefangen sich anzuziehen.";17
"134";134;"Und warum weinte sie denn?";5
"135";135;"Weil er nicht aufstand und den Prokuristen nicht hereinließ, weil er in Gefahr war, den Posten zu verlieren und weil dann der Chef die Eltern mit den alten Forderungen wieder verfolgen würde?";32
"136";136;"Das waren doch vorläufig wohl unnötige Sorgen.";7
"137";137;"Noch war Gregor hier und dachte nicht im geringsten daran, seine Familie zu verlassen.";14
"138";138;"Augenblicklich lag er wohl da auf dem Teppich, und niemand, der seinen Zustand gekannt hätte, hätte im Ernst von ihm verlangt, daß er den Prokuristen hereinlasse.";26
"139";139;"Aber wegen dieser kleinen Unhöflichkeit, für die sich ja später leicht eine passende Ausrede finden würde, konnte Gregor doch nicht gut sofort weggeschickt werden.";24
"140";140;"Und Gregor schien es, daß es viel vernünftiger wäre, ihn jetzt in Ruhe zu lassen, statt ihn mit Weinen und Zureden zu stören.";23
"141";141;"Aber es war eben die Ungewißheit, welche die anderen bedrängte und ihr Benehmen entschuldigte.";14
"142";142;"»Herr Samsa«, rief nun der Prokurist mit erhobener Stimme, »was ist denn los?";13
"143";143;"Sie verbarrikadieren sich da in Ihrem Zimmer, antworten bloß mit ja und nein, machen Ihren Eltern schwere, unnötige Sorgen und versäumen – dies nur nebenbei erwähnt – Ihre geschäftliche Pflichten in einer eigentlich unerhörten Weise.";33
"144";144;"Ich spreche hier im Namen Ihrer Eltern und Ihres Chefs und bitte Sie ganz ernsthaft um eine augenblickliche, deutliche Erklärung.";20
"145";145;"Ich staune, ich staune.";4
"146";146;"Ich glaubte Sie als einen ruhigen, vernünftigen Menschen zu kennen, und nun scheinen Sie plötzlich anfangen zu wollen, mit sonderbaren Launen zu paradieren.";23
"147";147;"De Chef deutete mir zwar heute früh eine möglich Erklärung für Ihre Versäumnisse an – sie betraf das Ihnen seit kurzem anvertraute Inkasso – , aber ich legte wahrhaftig fast mein Ehrenwort dafür ein, daß diese Erklärung nicht zutreffen könne.";37
"148";148;"Nun aber sehe ich hier Ihren unbegreiflichen Starrsinn und verliere ganz und gar jede Lust, mich auch nur im geringsten für Sie einzusetzen.";23
"149";149;"Und Ihre Stellung ist durchaus nicht die festeste.";8
"150";150;"Ich hatte ursprünglich die Absicht, Ihnen das alles unter vier Augen zu sagen, aber da Sie mich hier nutzlos meine Zeit versäumen lassen, weiß ich nicht, warum es nicht auch Ihr Herren Eltern erfahren sollen.";35
"151";151;"Ihre Leistungen in der letzten Zeit waren also sehr unbefriedigend; es ist zwar nicht die Jahreszeit, um besondere Geschäfte zu machen, das erkennen wir an; aber eine Jahreszeit, um keine Geschäfte zu machen, gibt es überhaupt nicht, Herr Samsa, darf es nicht geben.«";43
"152";152;"»Aber Herr Prokurist«, rief Gregor außer sich und vergaß in der Aufregung alles andere, »ich mache ja sofort, augenblicklich auf.";20
"153";153;"Ein leichtes Unwohlsein, ein Schwindelanfall, haben mich verhindert aufzustehen.";9
"154";154;"Ich liege noch jetzt im Bett.";6
"155";155;"Jetzt bin ich aber schon wieder ganz frisch.";8
"156";156;"Eben steige ich aus dem Bett.";6
"157";157;"Nur einen kleinen Augenblick Geduld!";5
"158";158;"Es geht noch nicht so gut; wie ich dachte.";9
"159";159;"Es ist mir aber schon wohl.";6
"160";160;"Wie das nur einen Menschen so überfallen kann!";8
"161";161;"Noch gestern abend war mir ganz gut, meine Eltern wissen es ja, oder besser, schon gestern abend hatte ich eine kleine Vorahnung.";22
"162";162;"Man hätte es mir ansehen müssen.";6
"163";163;"Warum habe ich es nur im Geschäfte nicht gemeldet!";9
"164";164;"Aber man denkt eben immer, daß man die Krankheit ohne Zuhausebleiben überstehen wird.";13
"165";165;"Herr Prokurist!";2
"166";166;"Schonen Sie meine Eltern!";4
"167";167;"Für alle die Vorwürfe, die Sie mir jetzt machen, ist ja kein Grund; man hat mir ja davon auch kein Wort gesagt.";22
"168";168;"Sie haben vielleicht die letzten Aufträge, die ich geschickt habe, nicht gelesen.";12
"169";169;"Übrigens, noch mit dem Achtuhrzug fahre ich auf die Reise, die paar Stunden Ruhe haben mich gekräftigt.";17
"170";170;"Halten Sie sich nur nicht auf, Herr Prokurist; ich bin gleich selbst im Geschäft, und haben Sie die Güte, das zu sagen und mich dem Herrn Chef zu empfehlen!«";29
"171";171;"Und während Gregor dies alles hastig ausstieß und kaum wußte, was er sprach, hatte er sich leicht, wohl infolge der im Bett bereits erlangten Übung, dem Kasten genähert und versuchte nun, an ihm sich aufzurichten.";35
"172";172;"Er wollte tatsächlich die Tür aufmachen, tatsächlich sich sehen lassen und mit dem Prokuristen sprechen; er war begierig zu erfahren, was die anderen, die jetzt so nach ihm verlangten, bei seinem Anblick sagen würden.";34
"173";173;"Würden sie erschrecken, dann hatte Gregor keine Verantwortung mehr und konnte ruhig sein.";13
"174";174;"Würden sie aber alles ruhig hinnehmen, dann hatte auch er keinen Grund sich aufzuregen, und konnte, wenn er sich beeilte, um acht Uhr tatsächlich auf dem Bahnhof sein.";28
"175";175;"Zuerst glitt er nun einige Male von dem glatten Kasten ab, aber endlich gab er sich einen letzten Schwung und stand aufrecht da; auf die Schmerzen im Unterleib achtete er gar nicht mehr, so sehr sie auch brannten.";38
"176";176;"Nun ließ er sich gegen die Rückenlehne eines nahen Stuhles fallen, an deren Rändern er sich mit seinen Beinchen festhielt.";20
"177";177;"Damit hatte er aber auch die Herrschaft über sich erlangt und verstummte, denn nun konnte er den Prokuristen anhören.";19
"178";178;"»Haben Sie auch nur ein Wort verstanden?«, fragte der Prokurist die Eltern, »er macht sich doch wohl nicht einen Narren aus uns?«";22
"179";179;"»Um Gottes willen«, rief die Mutter schon unter Weinen, »er ist vielleicht schwer krank, und wir quälen ihn.";18
"180";180;"Grete!";1
"181";181;"Grete!«";1
"182";182;"schrie sie dann.";3
"183";183;"»Mutter?«";1
"184";184;"rief die Schwester von der anderen Seite.";7
"185";185;"Sie verständigten sich durch Gregors Zimmer.";6
"186";186;"»Du mußt augenblicklich zum Arzt.";5
"187";187;"Gregor ist krank.";3
"188";188;"Rasch um den Arzt.";4
"189";189;"Hast du Gregor jetzt reden hören?«";6
"190";190;"»Das war eine Tierstimme«, sagte der Prokurist, auffallend leise gegenüber dem Schreien der Mutter.";14
"191";191;"»Anna!";1
"192";192;"Anna!«";1
"193";193;"rief der Vater durch das Vorzimmer in die Küche und klatschte in die Hände, »sofort einen Schlosser holen!«";18
"194";194;"Und schon liefen die zwei Mädchen mit rauschenden Röcken durch das Vorzimmer – wie hatte sich die Schwester denn so schnell angezogen? – und rissen die Wohnungstüre auf.";26
"195";195;"Man hörte gar nicht die Türe zuschlagen; sie hatten sie wohl offen gelassen, wie es in Wohnungen zu sein pflegt, in denen ein großes Unglück geschehen ist.";27
"196";196;"Gregor war aber viel ruhiger geworden.";6
"197";197;"Man verstand zwar also seine Worte nicht mehr, trotzdem sie ihm genug klar, klarer als früher, vorgekommen waren, vielleicht infolge der Gewöhnung des Ohres.";24
"198";198;"Aber immerhin glaubte man nun schon daran, daß es mit ihm nicht ganz in Ordnung war, und war bereit, ihm zu helfen.";22
"199";199;"Die Zuversicht und Sicherheit, mit welchen die ersten Anordnungen getroffen worden waren, taten ihm wohl.";15
"200";200;"Er fühlte sich wieder einbezogen in den menschlichen Kreis und erhoffte von beiden, vom Arzt und vom Schlosser, ohne sie eigentlich genau zu scheiden, großartige und überraschende Leistungen.";28
"201";201;"Um für die sich nähernden entscheidenden Besprechungen eine möglichst klare Stimme zu bekommen, hustete er ein wenig ab, allerdings bemüht, dies ganz gedämpft zu tun, da möglicherweise auch schon dieses Geräusch anders als menschlicher Husten klang, was er selbst zu entscheiden sich nicht mehr getraute.";45
"202";202;"Im Nebenzimmer war es inzwischen ganz still geworden.";8
"203";203;"Vielleicht saßen die Eltern mit dem Prokuristen beim Tisch und tuschelten, vielleicht lehnten alle an der Türe und horchten.";19
"204";204;"Gregor schob sich langsam mit dem Sessel zur Tür hin, ließ ihn dort los, warf sich gegen die Tür, hielt sich an ihr aufrecht – die Ballen seiner Beinchen hatten ein wenig Klebstoff – und ruhte sich dort einen Augenblick lang von der Anstrengung aus.";43
"205";205;"Dann aber machte er sich daran, mit dem Mund den Schlüssel im Schloß umzudrehen.";14
"206";206;"Es schien leider, daß er keine eigentlichen Zähne hatte, – womit sollte er gleich den Schlüssel fassen? – aber dafür waren die Kiefer freilich sehr stark; mit ihrer Hilfe brachte er auch wirklich den Schlüssel in Bewegung und achtete nicht darauf, daß er sich zweifellos irgendeinen Schaden zufügte, denn eine braune Flüssigkeit kam ihm aus dem Mund, floß über den Schlüssel und tropfte auf den Boden.";64
